Feature,Importance
individual_age,22.642189529356287
gender,13.999759917368861
individual_employment_status,13.602403403717746
current_living_arrangement,13.013138651222784
individual_lives_with,8.685964725007775
educational_status,7.96926471091042
marital_status,7.7639968792535035
IDP,4.5689079815785165
vul_cat_if_applicable,4.215423443548189
household_help,2.05874439470456
househead_employment_status,0.8283835533679863
PLHIV,0.46040499769938914
drug_user,0.10318642513773303
PLWD,0.04535714154590729
out_of_school_child,0.03145638237400829
female_sex_worker,0.009257514723682343
orphans,0.0021603484826468442
child_apprentice,0.0
other_vulnerability,0.0
